mmb跌的想哭。天天跌这么多。什么时候是个头,03-15
$三一重工(SH600031)$16.92买入博反弹,03-15
小仓买了一点，祝我好运吧,03-15
$三一重工(SH600031)$三一不敢说跌到10块，12块是一定可见,03-15
赶紧买以后这个价格买不到了。现在是抄底机会[笑哭],03-15
三一最近吃了大力丸啊,03-15
$三一重工(SH600031)$眼泪止不住的往下流,03-15
$三一重工(SH600031)$一一重工等你,03-15
芭比Q了,03-15
散户们别买了，在买死的更惨,03-15
$三一重工(SH600031)$我才说完下午跌，现在就跌了。。。,03-15
散户大本营，二百万,03-15
有种跌到13元我保证拿家当出来买你哈哈,03-15
$三一重工(SH600031)$疯了都疯了,03-15
$三一重工(SH600031)$我走呀？,03-15
哀嚎遍野,03-15
一三重工很快就到,03-15
无言以对[傲],03-15
这种股竟然还有人买,03-15
买吧,03-15
$三一重工(SH600031)$快跑,03-15
为国护盘，17补仓了,03-15
$三一重工(SH600031)$在等我几天，等我资金出来摸底，25日，下周进来摸,03-15
30路过,03-15
完了,03-15
快一六轻工了[捂脸],03-15
$三一重工(SH600031)$昨天还说三一重工会反弹的人，你品德好高尚，，我再,03-15
$三一重工(SH600031)$开始逐步买入看看[奸笑],03-15
$三一重工(SH600031)$下午继续跌,03-15
这也敢进去？,03-15
25买的,03-15
梁万亿，告诉你一个坏消息，你的股价已经扑街了，毛都不剩了,03-15
$三一重工(SH600031)$没有底线了，都不要脸了,03-15
$三一重工(SH600031)$日，继续跌呀,03-15
$三一重工(SH600031)$其实三一也不想的，三一本来就那样再加上大盘都那样,03-15
$三一重工(SH600031)$今天会红,03-15
$三一重工(SH600031)$10块钱见吧！,03-15
三一重工应改名为三一轻工，变垃圾股了。,03-15
$三一重工(SH600031)$价值投资毁灭年[吃瓜],03-15
套路太黑,03-15
$三一重工(SH600031)$不错至少今天暂时跑赢大盘[想一下],03-15
$三一重工(SH600031)$三一重工马上变成一一重工了。,03-15
$三一重工(SH600031)$完蛋了，完蛋了，逃命吧！逃命吧！,03-15
反弹1毛钱韭菜们又高潮了，继续跌,03-15
你是真的狗,03-15
$三一重工(SH600031)$新一轮的踩踏开始了,03-15
开盘直接往下,03-15
没底线了,03-15
今天涨停,03-15
一一手工,03-15
$三一重工(SH600031)$为什么卡特天天涨，这货天天跌，都是工程机械，难道,03-15
今年A股600多家IPO，三一会跌破十元,03-15
年中跌破10元,03-15
红豆股份(SH600400):通用泰国轮胎销售首超3000万美元,03-15
大基建来了,03-15
“三一重工”是房地产周期同步股。明年股价下探至1.6～2.0倍市净率后可低吸。,03-15
为什么？为什么？究竟是为什么？………炒股的风险大于剃头，但为什么就有那么多人来玩,03-15
卡特又又又涨了卡特涨三一跌卡特跌三一还是跌,03-15
三一重工连载（6）：我有我的方向,03-15
你抄底，它抄家,03-15
11重工？,03-15
16.5开盘,03-15
$三一重工(SH600031)$一三轻工，它，lei了！,03-15
布林下轨14块可以进场，止损12块，看线估计还有2个月左右的震荡,03-15
没一个看涨的了吗？那我开始关注了,03-15
$三一重工(SH600031)$克服恐惧，大胆买入，坚定信心，长期持有，必有厚报,03-15
$减持公告：本人因个人资金需求，决定启动减持计划。拟定于2022年3月15日至2,03-15
三一重工正是建仓时！,03-15
三一重工03月14日被沪股通减持362.19万股,03-15
$三一重工(SH600031)$不到七元非三一。,03-15
明天高开，高走，有钱的可以开盘入货，尾盘出货，不低于5个点的利润,03-15
$三一重工(SH600031)$三一还是虚胖，减肥刻不容缓，5元左右可以投,03-15
我是三一背后大庄，我决定，三一退市。各位就在坐好，我去拿收割机,03-15
跌路漫漫还有一半,03-15
$三一重工(SH600031)$干脆更名为一三重工算了一下更贴切,03-15
三一重工：连续3日融资净偿还累计1.29亿元（03-14）,03-15
$三一重工(SH600031)$三块一，等着你[大笑][大笑][大笑],03-15
什么价位是高？什么价位是低？庄家从来不考虑这些，讨论股价是高还是低是散户思维,03-15
$三一重工(SH600031)$三一有啥利好，人气涨这么快？,03-15
买的时候评论说马上就拉升，没有想到是往下拉。,03-15
$三一重工(SH600031)$最近贴吧来了一个红豆股份，这个是什么现象？我看不,03-15
哎，跌的太慢了，我给予他评级先看21，撑不住再看看！暂时不跟趋势作对，等再跌跌，,03-15
看看人家中联,03-15
$三一重工(SH600031)$这个股外面有700洗流通盘，谁都拉不动，只有等2,03-15
哈哈。套了多人人。你就是仁东。今年比破十,03-15
红豆股份(SH600400)集团荣获“金桥奖年度杰出社会责任企业”,03-15
$三一重工(SH600031)$三一重工变一七重工了[滴汗],03-15
请珍惜17元的三一重工[大笑][大笑],03-15
$三一重工(SH600031)$股价越跌，散户还在买进，搏杀还是博傻？,03-15
$三一重工(SH600031)$感觉三一也比东方国信强，最起码已经快到底部了，不,03-15
$三一重工(SH600031)$三一重工万亿市值的豪言壮语犹在耳边.市场就拍拍几,03-15
$三一重工(SH600031)$高喊要万亿市值目标，现在股价这样公司是否考虑回购,03-15
估计要跌破15了,03-15
三一重工估计要干成一三重工,03-15
33块买的还在站岗[哭],03-15
$三一重工(SH600031)$有人还记得四方大道吗？去年听他忽悠，亏的家都不认,03-15
$三一重工(SH600031)$20块已成奢望,03-15
五十块买的人这辈子不要想解套,03-15
$三一重工(SH600031)$克服恐惧，大胆买入，坚定信心，长期持有，必有厚报,03-15
$三一重工(SH600031)$厉害哦，过两天扔个十万到里面一日游[大笑],03-15
明天必涨,03-15
转发,03-15
这跌的牛逼了[捂脸][捂脸]不跑又好几万没了,03-15
本来就是从几块钱上去的，掉回几块钱也不奇怪，19年到现在基本每支票都下跌了2倍，,03-15
年内跌破8元大概率事件,03-15
$三一重工(SH600031)$学学你哥哥,03-15
失破整数十元，差不多可反抽下,03-15
$三一重工(SH600031)$这才是龙头。,03-15
$三一重工(SH600031)$不破8元不罢休，而且不横10年起不来，把话撂这了,03-15
暴跌，必有妖孽,03-15
抄底[火箭][抄底],03-15
目前只有永安行开发的氢能源共享助力车有市场，因为永安行配套了太阳能制氢，氢能源助,03-15
$三一重工(SH600031)$三一重工，卡特彼勒，不解释,03-14
[666],03-14
$三一重工(SH600031)$散户多的最后都是多杀多，全部亏损离场,03-14
我50亿已到账，准备走一波，明天看我表演[得意]$三一重工(SH600031)$,03-14
